PGN,Label,InDBC
F308,High Voltage Energy Storage Pack 23 Data 3,J1939 DBC
F309,High Voltage Energy Storage Pack 23 Data 4,J1939 DBC
F30A,High Voltage Energy Storage Pack 23 Data 5,J1939 DBC
F30B,High Voltage Energy Storage Pack 23 Data 6,J1939 DBC
F30C,High Voltage Energy Storage Pack 23 Status 1,J1939 DBC
F30D,High Voltage Energy Storage Pack 23 Data 7,J1939 DBC
F30E,High Voltage Energy Storage Pack 23 Module Status 1,J1939 DBC
F30F,High Voltage Energy Storage Pack 23 Thermal Management System Status 1,J1939 DBC
F310,High Voltage Energy Storage Pack 23 Data 8,J1939 DBC
F311,High Voltage Energy Storage Pack 23 Data 9,J1939 DBC
F312,High Voltage Energy Storage Pack 23 Data 10,J1939 DBC
F313,High Voltage Energy Storage Pack 23 Data 11,J1939 DBC
F314,High Voltage Energy Storage Pack 24 Status 2,J1939 DBC
F315,High Voltage Energy Storage Pack 24 Data 1,J1939 DBC
F316,High Voltage Energy Storage Pack 24 Data 2,J1939 DBC
F317,High Voltage Energy Storage Pack 24 Data 3,J1939 DBC
F318,High Voltage Energy Storage Pack 24 Data 4,J1939 DBC
F319,High Voltage Energy Storage Pack 24 Data 5,J1939 DBC
F31A,High Voltage Energy Storage Pack 24 Data 6,J1939 DBC
F31B,High Voltage Energy Storage Pack 24 Status 1,J1939 DBC
F31C,High Voltage Energy Storage Pack 24 Data 7,J1939 DBC
F31D,High Voltage Energy Storage Pack 24 Module Status 1,J1939 DBC
F31E,High Voltage Energy Storage Pack 24 Thermal Management System Status 1,J1939 DBC
F31F,High Voltage Energy Storage Pack 24 Data 8,J1939 DBC
F320,High Voltage Energy Storage Pack 24 Data 9,J1939 DBC
F321,High Voltage Energy Storage Pack 24 Data 10,J1939 DBC
F322,High Voltage Energy Storage Pack 24 Data 11,J1939 DBC
F323,High Voltage Energy Storage Pack 25 Status 2,J1939 DBC
F324,High Voltage Energy Storage Pack 25 Data 1,J1939 DBC
F325,High Voltage Energy Storage Pack 25 Data 2,J1939 DBC
F326,High Voltage Energy Storage Pack 25 Data 3,J1939 DBC
F327,High Voltage Energy Storage Pack 25 Data 4,J1939 DBC
F328,High Voltage Energy Storage Pack 25 Data 5,J1939 DBC
F329,High Voltage Energy Storage Pack 25 Data 6,J1939 DBC
F32A,High Voltage Energy Storage Pack 25 Status 1,J1939 DBC
F32B,High Voltage Energy Storage Pack 25 Data 7,J1939 DBC
F32C,High Voltage Energy Storage Pack 25 Module Status 1,J1939 DBC
F32D,High Voltage Energy Storage Pack 25 Thermal Management System Status 1,J1939 DBC
F32E,High Voltage Energy Storage Pack 25 Data 8,J1939 DBC
F32F,High Voltage Energy Storage Pack 25 Data 9,J1939 DBC
F330,High Voltage Energy Storage Pack 25 Data 10,J1939 DBC
F331,High Voltage Energy Storage Pack 25 Data 11,J1939 DBC
F332,High Voltage Energy Storage Pack 26 Status 2,J1939 DBC
F333,High Voltage Energy Storage Pack 26 Data 1,J1939 DBC
F334,High Voltage Energy Storage Pack 26 Data 2,J1939 DBC
F335,High Voltage Energy Storage Pack 26 Data 3,J1939 DBC
F336,High Voltage Energy Storage Pack 26 Data 4,J1939 DBC
F337,High Voltage Energy Storage Pack 26 Data 5,J1939 DBC
F338,High Voltage Energy Storage Pack 26 Data 6,J1939 DBC
F339,High Voltage Energy Storage Pack 26 Status 1,J1939 DBC
F33A,High Voltage Energy Storage Pack 26 Data 7,J1939 DBC
F33B,High Voltage Energy Storage Pack 26 Module Status 1,J1939 DBC
F33C,High Voltage Energy Storage Pack 26 Thermal Management System Status 1,J1939 DBC
F33D,High Voltage Energy Storage Pack 26 Data 8,J1939 DBC
F33E,High Voltage Energy Storage Pack 26 Data 9,J1939 DBC
F33F,High Voltage Energy Storage Pack 26 Data 10,J1939 DBC
F340,High Voltage Energy Storage Pack 26 Data 11,J1939 DBC
F341,External Steering Request,J1939 DBC
F342,Active Steering System Controller 2,J1939 DBC
F343,Electronic Park Brake Controller 1,J1939 DBC
F344,Electronic Park Brake Controller 2,J1939 DBC
F345,Genset Frequency Limitation,J1939 DBC (2022-08)
F346,Genset Power Limitation,J1939 DBC (2022-08)
F347,Genset Real Power Control,J1939 DBC (2022-08)
F34A,Genset Real Power Setpoint Demand,J1939 DBC (2022-08)
F34B,Genset Real Power Control 2,J1939 DBC (2022-08)
F34C,High Voltage Energy Storage Pack 1 Data 12,J1939 DBC (2022-08)
F34D,High Voltage Energy Storage Pack 1 Data 13,J1939 DBC (2022-08)
F34E,High Voltage Energy Storage Pack 2 Data 12,J1939 DBC (2022-08)
F34F,High Voltage Energy Storage Pack 2 Data 13,J1939 DBC (2022-08)
F350,High Voltage Energy Storage Pack 3 Data 12,J1939 DBC (2022-08)
F351,High Voltage Energy Storage Pack 3 Data 13,J1939 DBC (2022-08)
F352,High Voltage Energy Storage Pack 4 Data 12,J1939 DBC (2022-08)
F353,High Voltage Energy Storage Pack 4 Data 13,J1939 DBC (2022-08)
F354,High Voltage Energy Storage Pack 5 Data 12,J1939 DBC (2022-08)
F355,High Voltage Energy Storage Pack 5 Data 13,J1939 DBC (2022-08)
F356,High Voltage Energy Storage Pack 6 Data 12,J1939 DBC (2022-08)
F357,High Voltage Energy Storage Pack 6 Data 13,J1939 DBC (2022-08)
F358,High Voltage Energy Storage Pack 7 Data 12,J1939 DBC (2022-08)
F359,High Voltage Energy Storage Pack 7 Data 13,J1939 DBC (2022-08)
F35A,High Voltage Energy Storage Pack 8 Data 12,J1939 DBC (2022-08)
F35B,High Voltage Energy Storage Pack 8 Data 13,J1939 DBC (2022-08)
F35C,High Voltage Energy Storage Pack 9 Data 12,J1939 DBC (2022-08)
F35D,High Voltage Energy Storage Pack 9 Data 13,J1939 DBC (2022-08)
F35E,High Voltage Energy Storage Pack 10 Data 12,J1939 DBC (2022-08)
F35F,High Voltage Energy Storage Pack 10 Data 13,J1939 DBC (2022-08)
F360,High Voltage Energy Storage Pack 11 Data 12,J1939 DBC (2022-08)
F361,High Voltage Energy Storage Pack 11 Data 13,J1939 DBC (2022-08)
F362,High Voltage Energy Storage Pack 12 Data 12,J1939 DBC (2022-08)
F363,High Voltage Energy Storage Pack 12 Data 13,J1939 DBC (2022-08)
FA24,High Voltage Energy Storage System Data 12,J1939 DBC (2022-08)
FA25,High Voltage Energy Storage System Data 13,J1939 DBC (2022-08)
FA26,High Voltage Energy Storage System Data 14,J1939 DBC (2022-08)
FA27,High Voltage Energy Storage Pack 1 Internal Status 1,J1939 DBC (2022-08)
FA28,High Voltage Energy Storage Pack 2 Internal Status 1,J1939 DBC (2022-08)
FA29,High Voltage Energy Storage Pack 3 Internal Status 1,J1939 DBC (2022-08)
FA2A,High Voltage Energy Storage Pack 4 Internal Status 1,J1939 DBC (2022-08)
FA2B,High Voltage Energy Storage Pack 5 Internal Status 1,J1939 DBC (2022-08)
FA2C,High Voltage Energy Storage Pack 6 Internal Status 1,J1939 DBC (2022-08)
FA2D,High Voltage Energy Storage Pack 7 Internal Status 1,J1939 DBC (2022-08)
FA2E,High Voltage Energy Storage Pack 8 Internal Status 1,J1939 DBC (2022-08)
FA2F,High Voltage Energy Storage Pack 9 Internal Status 1,J1939 DBC (2022-08)
FA30,High Voltage Energy Storage Pack 10 Internal Status 1,J1939 DBC (2022-08)
FA31,High Voltage Energy Storage Pack 11 Internal Status 1,J1939 DBC (2022-08)
FA32,High Voltage Energy Storage Pack 12 Internal Status 1,J1939 DBC (2022-08)
FA35,Refuse Truck Body Information,J1939 DBC (2022-08)
FA36,Engine Fluid Level/Pressure 14,J1939 DBC (2022-08)
FA37,Well Stimulation Transmission Control Configuration,J1939 DBC (2022-08)
FA38,Well Stimulation Pump Protection System Configuration Command 1,J1939 DBC (2022-08)
FA39,Well Stimulation Pump Protection System Configuration Command 2,J1939 DBC (2022-08)
FA3A,Electric PTO Drive Engagement 1,J1939 DBC (2022-08)
FA3B,Electric PTO 1 Information,J1939 DBC (2022-08)
FA3C,Engine Exhaust O2 Sensor Information,J1939 DBC (2022-08)
FA3D,Gaseous Fuel Supply Pressure 3,J1939 DBC (2022-08)
FA3E,Traffic Signage,J1939 DBC (2022-08)
FA3F,Engine Configuration 4,J1939 DBC (2022-08)
FA44,Engine Speed/Load Factor Information 2,J1939 DBC
FA45,Generator Trip Energy 2,J1939 DBC
FA46,Security System Machine Operation Information,J1939 DBC
FA47,Engine Fuel Actuator Service Mode,J1939 DBC
FA48,Steering Wheel Controls,J1939 DBC
FA49,Park Assist,J1939 DBC
FA4B,Aftertreatment 2 SCR Dosing System Information 5,J1939 DBC
FA4C,Aftertreatment 1 SCR Dosing System Information 5,J1939 DBC
FA4D,EV Economy Information,J1939 DBC
FA4E,Automated Driving System Status 2,J1939 DBC
FA4F,Automated Driving System Control 3,J1939 DBC
FA50,Aftercooler Valve,J1939 DBC
FA51,Engine Radiator 1,J1939 DBC
FA52,Engine Radiator 2,J1939 DBC
FA53,Genset Enclosure Ventilation,J1939 DBC
FA54,Heat Exchanger 1,J1939 DBC
FA55,Heat Exchanger 2,J1939 DBC
FA56,Heat Exchanger 3,J1939 DBC
FA57,Heat Exchanger 4,J1939 DBC
FA58,Engine Exhaust Gas Heat Exchanger,J1939 DBC
FA59,Genset Enclosure Ventilation Louver,J1939 DBC
FA5A,Genset External Coolant System,J1939 DBC
FA5B,EV DC Status 1,J1939 DBC
FA5C,EVSE 1 DC Charging Limits 3,J1939 DBC
FA5D,EVSE 1 Power Max Schedule,J1939 DBC
FA5E,EV Charge Profile,J1939 DBC
FA5F,EV DC Charging Limits 2,J1939 DBC
FA60,EV DC Charging In Progress,J1939 DBC
FA62,Lighting Data 2,J1939 DBC
FA63,Lighting Command 2,J1939 DBC
FA64,Aftertreatment System Information 5,J1939 DBC
FA65,Aftertreatment System Information 4,J1939 DBC
FA66,Aftertreatment System Information 3,J1939 DBC
FA67,Fluid Resistance 1,J1939 DBC
FA68,Power Converter 2 Isolation Integrity Request,J1939 DBC
FA69,Power Converter 1 Isolation Integrity Request,J1939 DBC
FA6A,Power Converter 2 Limits Request Power,J1939 DBC
FA6B,Power Converter 2 Limits Request Electrical,J1939 DBC
FA6C,Power Converter 2 Limits Request DC Energy Source 1,J1939 DBC
FA6D,Power Converter 1 Limits Request DC Energy Source 1,J1939 DBC
FA6E,Power Converter 1 Limits Request Electrical,J1939 DBC
FA6F,Power Converter 1 Limits Request Power,J1939 DBC
FA70,Inverter 1 Lifetime Data,J1939 DBC
FA71,Inverter 2 Lifetime Data,J1939 DBC
FA72,Power Converter 2 Active Power Limits,J1939 DBC
FA73,Power Converter 1 Active Power Limits,J1939 DBC
FA74,Power Converter 2 Reference 1,J1939 DBC
FA75,Power Converter 2 Reference 2,J1939 DBC
FA76,Power Converter 2 Temperature,J1939 DBC
FA77,Power Converter 1 Temperature,J1939 DBC
FA78,Power Converter 1 Reference 2,J1939 DBC
FA79,Power Converter 1 Reference 1,J1939 DBC
FA7A,Power Converter 1 Phase Current,J1939 DBC
FA7B,Power Converter 2 Phase Current,J1939 DBC
FA7C,Power Converter 1 Phase Voltage,J1939 DBC
FA7D,Power Converter 2 Phase Voltage,J1939 DBC
FA7E,Power Converter Power Module Switch Temperatures,J1939 DBC
FA7F,Power Converter 1 Power Module Switch Power Supply Voltage,J1939 DBC
FA80,Power Converter 2 Power Module Switch Power Supply Voltage,J1939 DBC
FA81,Power Converter Totals 1,J1939 DBC
FA82,Transformer Temperatures,J1939 DBC
FA83,Electrified Accessory Engine Coolant Pump Status,J1939 DBC
FA84,High Voltage Energy Storage Pack 11 History,J1939 DBC
FA85,High Voltage Energy Storage Pack 11 Configuration,J1939 DBC
FA86,High Voltage Energy Storage Pack 12 History,J1939 DBC
FA87,High Voltage Energy Storage Pack 12 Configuration,J1939 DBC
FA88,High Voltage Energy Storage Pack 13 History,J1939 DBC
FA89,High Voltage Energy Storage Pack 13 Configuration,J1939 DBC
FA8A,High Voltage Energy Storage Pack 14 History,J1939 DBC
FA8B,High Voltage Energy Storage Pack 14 Configuration,J1939 DBC
FA8C,High Voltage Energy Storage Pack 15 History,J1939 DBC
FA8D,High Voltage Energy Storage Pack 15 Configuration,J1939 DBC
FA8E,High Voltage Energy Storage Pack 16 History,J1939 DBC
FA8F,High Voltage Energy Storage Pack 16 Configuration,J1939 DBC
FA90,High Voltage Energy Storage Pack 17 History,J1939 DBC
FA91,High Voltage Energy Storage Pack 17 Configuration,J1939 DBC
FA92,High Voltage Energy Storage Pack 18 History,J1939 DBC
FA93,High Voltage Energy Storage Pack 18 Configuration,J1939 DBC
FA94,High Voltage Energy Storage Pack 19 History,J1939 DBC
FA95,High Voltage Energy Storage Pack 19 Configuration,J1939 DBC
FA96,High Voltage Energy Storage Pack 20 History,J1939 DBC
FA97,High Voltage Energy Storage Pack 20 Configuration,J1939 DBC
FA98,High Voltage Energy Storage Pack 21 History,J1939 DBC
FA99,High Voltage Energy Storage Pack 21 Configuration,J1939 DBC
FA9A,High Voltage Energy Storage Pack 22 History,J1939 DBC
FA9B,High Voltage Energy Storage Pack 22 Configuration,J1939 DBC
FA9C,High Voltage Energy Storage Pack 23 History,J1939 DBC
FA9D,High Voltage Energy Storage Pack 23 Configuration,J1939 DBC
FA9E,High Voltage Energy Storage Pack 24 History,J1939 DBC
FA9F,High Voltage Energy Storage Pack 24 Configuration,J1939 DBC
FAA0,High Voltage Energy Storage Pack 25 History,J1939 DBC
FAA1,High Voltage Energy Storage Pack 25 Configuration,J1939 DBC
FAA2,High Voltage Energy Storage Pack 26 History,J1939 DBC
FAA3,High Voltage Energy Storage Pack 26 Configuration,J1939 DBC
FAA4,Automated Driving System Control 2,J1939 DBC
FAA5,Duel Fuel Mode 3,J1939 DBC
FAA6,Duel Fuel Mode 2,J1939 DBC
FAA7,Dual Fuel Mode 1,J1939 DBC
FAA8,Transmission 1 History,J1939 DBC
FAA9,Transmission Shaft Twist Information,J1939 DBC
FAAA,Electronic Auxiliary Transmission Controller 2,J1939 DBC
FAAB,High Voltage Energy Storage Pack 10 Configuration,J1939 DBC
FAAC,High Voltage Energy Storage Pack 10 History,J1939 DBC
FAAD,High Voltage Energy Storage Pack 9 Configuration,J1939 DBC
FAAE,High Voltage Energy Storage Pack 9 History,J1939 DBC
FAAF,High Voltage Energy Storage Pack 8 Configuration,J1939 DBC
FAB0,High Voltage Energy Storage Pack 8 History,J1939 DBC
FAB1,High Voltage Energy Storage Pack 7 Configuration,J1939 DBC
FAB2,High Voltage Energy Storage Pack 7 History,J1939 DBC
FAB4,EV DC Charging Limits 1,J1939 DBC
FAB5,EVSE 1 DC Charging Limits 1,J1939 DBC
FAB6,EVSE 1 DC Charging Limits 2,J1939 DBC
FAB7,EV DC Charging Target,J1939 DBC
FAB8,EVSE 1 DC Status 1,J1939 DBC
FAB9,EVSE 1 Contactor Cmd 1,J1939 DBC
FABA,EVSE 1 Contactor Status 1,J1939 DBC
FABB,Direct Lamp Control Command 3,J1939 DBC
FABC,Direct Lamp Control Data 3,J1939 DBC
FABD,Motor/Generator 1 Lifetime Data,J1939 DBC
FABE,Motor/Generator 2 Lifetime Data,J1939 DBC
FABF,Motor/Generator 3 Lifetime Data,J1939 DBC
FAC0,Motor/Generator 4 Lifetime Data,J1939 DBC
FAC1,Motor/Generator 5 Lifetime Data,J1939 DBC
FAC2,Motor/Generator 6 Lifetime Data,J1939 DBC
FAC3,Air Supply Pressure 3,J1939 DBC
FAC4,EVSE 1 AC Supply Voltage,J1939 DBC
FAC5,EVSE1 AC 3-Phase Load,J1939 DBC
FAC6,Electronic Retarder Controller 3,J1939 DBC
FAC8,Electronic Transmission Controller 14,J1939 DBC
FACD,Aftertreatment 1 SCR Exhaust Gas Pressures 2,J1939 DBC
FACE,PTO Information 2,J1939 DBC
FACF,EVCC1 Diagnostic Data 1,J1939 DBC
FAD0,Cab Door Control 2,J1939 DBC
FAD1,Engine Average Information 2,J1939 DBC
FAD2,Turbocharger Information 9,J1939 DBC
FAD3,Automated Driving System Control 1,J1939 DBC
FAD4,EVSE 1 AC Status 2,J1939 DBC
FAD5,EVSE 1 AC Status 1,J1939 DBC
FAD6,EVSE 1 Status 1,J1939 DBC
FAED,Temperature Sensing Module 1,J1939 DBC
FAEE,Temperature Sensing Module 2,J1939 DBC
FAEF,Aftertreatment 2 SCR Service Information 3,J1939 DBC
FAF0,Aftertreatment 1 SCR Service Information 3,J1939 DBC
FAF1,PSA Times Lifetime Hours,J1939 DBC
FAF2,PSA Times Stored 100 Hours,J1939 DBC
FAF3,PSA Times Active 100 Hours,J1939 DBC
FAF4,Hybrid Charge Depleting or Increasing Operation Lifetime Hours,J1939 DBC
FAF5,Hybrid Charge Depleting or Increasing Operation Stored 100 Hours,J1939 DBC
FAF6,Hybrid Charge Depleting or Increasing Operation Active 100 Hours,J1939 DBC
FAF7,Aftertreatment 1 Historical Information 3,J1939 DBC
FAF9,Aftertreatment 1 SCR 2 NOx Mass and NH3 Storage,J1939 DBC
FAFA,Aftertreatment 1 SCR 1 NOx Mass and NH3 Storage,J1939 DBC
FAFB,Evaporative System Pressure and Control,J1939 DBC
FAFC,GHG Tracking Lifetime Array Data,J1939 DBC
FAFD,GHG Tracking Stored 100 Hour Array Data,J1939 DBC
FAFE,GHG Tracking Active 100 Hour Array Data,J1939 DBC
FB02,NOx Tracking Engine Activity Lifetime Fuel Consumption Bins,J1939 DBC
FB03,NOx Tracking Engine Activity Lifetime Engine Run Time Bins,J1939 DBC
FB04,NOx Tracking Engine Activity Lifetime Vehicle Distance Bins,J1939 DBC
FB05,NOx Tracking Engine Activity Lifetime Engine Output Energy Bins,J1939 DBC
FB06,NOx Tracking Valid NOx Lifetime Fuel Consumption Bins,J1939 DBC
FB07,NOx Tracking Valid NOx Lifetime Engine Run Time Bins,J1939 DBC
FB08,NOx Tracking Valid NOx Lifetime Vehicle Distance Bins,J1939 DBC
FB09,NOx Tracking Valid NOx Lifetime Engine Output Energy Bins,J1939 DBC
FB0A,NOx Tracking Valid NOx Lifetime Engine Out NOx Mass Bins,J1939 DBC
FB0B,NOx Tracking Valid NOx Lifetime System Out NOx Mass Bins,J1939 DBC
FB0C,NOx Tracking Stored 100 Hour Fuel Consumption Bins,J1939 DBC
FB0D,NOx Tracking Stored 100 Hour Engine Run Time Bins,J1939 DBC
FB0E,NOx Tracking Stored 100 Hour Vehicle Distance Bins,J1939 DBC
FB0F,NOx Tracking Stored 100 Hour Engine Output Energy Bins,J1939 DBC
FB10,NOx Tracking Stored 100 Hour Engine Out NOx Mass Bins,J1939 DBC
FB11,NOx Tracking Stored 100 Hour System Out NOx Mass Bins,J1939 DBC
FB12,NOx Tracking Active 100 Hour Fuel Consumption Bins,J1939 DBC
FB13,NOx Tracking Active 100 Hour Engine Run Time Bins,J1939 DBC
FB14,NOx Tracking Active 100 Hour Vehicle Distance Bins,J1939 DBC
FB15,NOx Tracking Active 100 Hour Engine Output Energy Bins,J1939 DBC
FB16,NOx Tracking Active 100 Hour Engine Out NOx Mass Bins,J1939 DBC
FB17,NOx Tracking Active 100 Hour System Out NOx Mass Bins,J1939 DBC
FB18,Motor/Generator 6 Inverter Control 2,J1939 DBC
FB19,Motor/Generator 6 Inverter Limits Request Power,J1939 DBC
FB1A,Motor/Generator 6 Inverter Limits Request Mechanical,J1939 DBC
FB1B,Motor/Generator 6 Inverter Limits Request DC Side,J1939 DBC
FB1C,Motor/Generator 6 Inverter Isolation Integrity Request,J1939 DBC
FB1D,Motor/Generator 5 Inverter Control 2,J1939 DBC
FB1E,Motor/Generator 5 Inverter Limits Request Power,J1939 DBC
FB1F,Motor/Generator 5 Inverter Limits Request Mechanical,J1939 DBC
FB20,Motor/Generator 5 Inverter Limits Request DC Side,J1939 DBC
FB21,Motor/Generator 5 Inverter Isolation Integrity Request,J1939 DBC
FB22,Motor/Generator 4 Inverter Control 2,J1939 DBC
FB23,Motor/Generator 4 Inverter Limits Request Power,J1939 DBC
FB24,Motor/Generator 4 Inverter Limits Request Mechanical,J1939 DBC
FB25,Motor/Generator 4 Inverter Limits Request DC Side,J1939 DBC
FB26,Motor/Generator 4 Inverter Isolation Integrity Request,J1939 DBC
FB27,Motor/Generator 3 Inverter Control 2,J1939 DBC
FB28,Motor/Generator 3 Inverter Limits Request Power,J1939 DBC
FB29,Motor/Generator 3 Inverter Limits Request Mechanical,J1939 DBC
FB2A,Motor/Generator 3 Inverter Limits Request DC Side,J1939 DBC
FB2B,Motor/Generator 3 Inverter Isolation Integrity Request,J1939 DBC
FB2D,Turbocharger Information 8,J1939 DBC
FB2E,Winch Information 2,J1939 DBC
FB2F,Motor/Generator 6 Inverter Reference 1,J1939 DBC
FB30,Motor/Generator 6 Inverter Status 1,J1939 DBC
FB31,Motor/Generator 6 Inverter Reference 2,J1939 DBC
FB32,Motor/Generator 6 Inverter Temperature,J1939 DBC
FB33,Motor/Generator 6 Inverter Motor Temperature,J1939 DBC
FB34,Motor/Generator 6 Inverter Isolation Integrity,J1939 DBC
FB35,Motor/Generator 6 Inverter Active Power Limits,J1939 DBC
FB36,Motor/Generator 5 Inverter Reference 1,J1939 DBC
FB37,Motor/Generator 5 Inverter Status 1,J1939 DBC
FB38,Motor/Generator 5 Inverter Reference 2,J1939 DBC
FB39,Motor/Generator 5 Inverter Temperature,J1939 DBC
FB3A,Motor/Generator 5 Inverter Motor Temperature,J1939 DBC
FB3B,Motor/Generator 5 Inverter Isolation Integrity,J1939 DBC
FB3C,Motor/Generator 5 Inverter Active Power Limits,J1939 DBC
FB3D,Motor/Generator 4 Inverter Reference 1,J1939 DBC
FB3E,Motor/Generator 4 Inverter Status 1,J1939 DBC
FB3F,Motor/Generator 4 Inverter Reference 2,J1939 DBC
FB40,Motor/Generator 4 Inverter Temperature,J1939 DBC
FB41,Motor/Generator 4 Inverter Motor Temperature,J1939 DBC
FB42,Motor/Generator 4 Inverter Isolation Integrity,J1939 DBC
FB43,Motor/Generator 4 Inverter Active Power Limits,J1939 DBC
FB44,Motor/Generator 3 Inverter Reference 1,J1939 DBC
FB45,Motor/Generator 3 Inverter Status 1,J1939 DBC
FB46,Motor/Generator 3 Inverter Reference 2,J1939 DBC
FB47,Motor/Generator 3 Inverter Temperature,J1939 DBC
FB48,Motor/Generator 3 Inverter Motor Temperature,J1939 DBC
FB49,Motor/Generator 3 Inverter Isolation Integrity,J1939 DBC
FB4A,Motor/Generator 3 Inverter Active Power Limits,J1939 DBC
FB4B,Automated Driving System Status 1,J1939 DBC
FB4C,Cab Climate System Information 2,J1939 DBC
FB4D,Maintenance Information,J1939 DBC
FB4E,Hoist Control Information,J1939 DBC
FB4F,High Voltage Energy Storage Pack 6 History,J1939 DBC
FB50,High Voltage Energy Storage Pack 6 Configuration,J1939 DBC
FB51,High Voltage Energy Storage Pack 5 History,J1939 DBC
FB52,High Voltage Energy Storage Pack 5 Configuration,J1939 DBC
FB53,High Voltage Energy Storage Pack 4 History,J1939 DBC
FB54,High Voltage Energy Storage Pack 4 Configuration,J1939 DBC
FB55,High Voltage Energy Storage Pack 3 History,J1939 DBC
FB56,High Voltage Energy Storage Pack 3 Configuration,J1939 DBC
FB57,High Voltage Energy Storage Pack 2 History,J1939 DBC
FB58,High Voltage Energy Storage Pack 2 Configuration,J1939 DBC
FB59,High Voltage Energy Storage Pack 1 History,J1939 DBC
FB5A,High Voltage Energy Storage Pack 1 Configuration,J1939 DBC
FB5B,Vehicle Fire Suppression System Module 1 Detector Data,J1939 DBC
FB5C,Vehicle Fire Suppression System Module 2 Detector Data,J1939 DBC
FB5D,Vehicle Fire Suppression System Module 3 Detector Data,J1939 DBC
FB5E,Vehicle Fire Suppression System Module 4 Detector Data,J1939 DBC
FB5F,Vehicle Fire Suppression System Module 1 Auxilliary Data,J1939 DBC
FB60,Vehicle Fire Suppression System Module 2 Auxilliary Data,J1939 DBC
FB61,Vehicle Fire Suppression System Module 3 Auxilliary Data,J1939 DBC
FB62,Vehicle Fire Suppression System Module 4 Auxilliary Data,J1939 DBC
FB63,Vehicle Fire Suppression System Module 1 Names,J1939 DBC
FB64,Vehicle Fire Suppression System Module 2 Names,J1939 DBC
FB65,Vehicle Fire Suppression System Module 3 Names,J1939 DBC
FB66,Vehicle Fire Suppression System Module 4 Names,J1939 DBC
FB67,Motor/Generator 2 Inverter Active Power Limits,J1939 DBC
FB68,Motor/Generator 2 Inverter Isolation Integrity,J1939 DBC
FB69,Motor/Generator 1 Inverter Active Power Limits,J1939 DBC
FB6A,Motor/Generator 1 Inverter Isolation Integrity,J1939 DBC
FB6B,High Voltage Bus Information,J1939 DBC
FB6C,Motor/Generator 2 Inverter Reference 1,J1939 DBC
FB6D,Motor/Generator 2 Inverter Status 1,No
FB6E,Motor/Generator 2 Inverter Reference 2,J1939 DBC
FB6F,Motor/Generator 2 Inverter Temperature,J1939 DBC
FB70,Motor/Generator 2 Inverter Motor Temperature,J1939 DBC
FB71,Motor/Generator 1 Inverter Motor Temperature,J1939 DBC
FB72,Motor/Generator 1 Inverter Temperature,J1939 DBC
FB73,Motor/Generator 1 Inverter Reference 2,J1939 DBC
FB74,Motor/Generator 1 Inverter Status 1,No
FB75,Motor/Generator 1 Inverter Reference 1,J1939 DBC
FB76,Personnel Detect Status,J1939 DBC
FB77,Engine Cylinder Pressure Gamma 1,J1939 DBC
FB78,Engine Cylinder Pressure Gamma 2,J1939 DBC
FB79,Engine Cylinder Pressure Gamma 3,J1939 DBC
FB7A,Engine Cylinder Pressure Gamma 4,J1939 DBC
FB7B,Engine Cylinder Pressure Gamma 5,J1939 DBC
FB7C,Reserved for Network Operation Mode,No
FB7D,Electrified Accessory Generator Coolant Pump Status,J1939 DBC
FB7E,Electrified Accessory Generator Coolant Fan Status,J1939 DBC
FB7F,Well Stimulation Pump System Filter Information,J1939 DBC
FB80,PTO Governor Configuration,J1939 DBC
FB81,On Board Programming 2,J1939 DBC
FB82,Primary or Rear Hitch Yaw,ISOBUS DBC (2022-08)
FB83,Secondary or Front Hitch Yaw,ISOBUS DBC (2022-08)
FB84,Operator Status,ISOBUS DBC (2022-08)
FB85,Engine Idle Management Information,J1939 DBC
FB86,Alcohol Interlock To Vehicle,No
FB87,Vehicle To Alcohol Interlock,No
FB88,Marine Control Information 3,J1939 DBC
FB89,Engine Fluid Level/Pressure 13,J1939 DBC
FB8A,High Voltage Energy Storage 1 Data 11,J1939 DBC
FB8B,Economy Mode Inactive Hours,J1939 DBC
FB8C,Economy Mode Estimated Instantaneous Fuel Savings Rate,J1939 DBC
FB8D,Economy Mode Active Hours,J1939 DBC
FB8E,Economy Mode Fuel Used,J1939 DBC
FB8F,Economy Mode Estimated Fuel Savings,J1939 DBC
FB90,DC/DC Converter 4 Voltage,J1939 DBC
FB91,DC/DC Converter 3 Voltage,J1939 DBC
FB92,DC/DC Converter 2 Voltage,J1939 DBC
FB93,DC/DC Converter 1 Voltage,J1939 DBC
FB94,Electronic Engine Controller 22,J1939 DBC
FB95,Engine Hours 2,J1939 DBC
FB96,Engine Information 3,J1939 DBC
FB97,Vehicle Electrical Power 15,J1939 DBC
FB98,Exhaust Oxygen 2,J1939 DBC
FB99,DC/AC Accessory Inverter 1 Temperatures,J1939 DBC
FB9A,DC/AC Accessory Inverter 1 DC Side Limits,J1939 DBC
FB9B,DC/AC Accessory Inverter 1 AC Side Limits,J1939 DBC
FB9C,DC/AC Accessory Inverter 1 Configuration 1,J1939 DBC
FB9D,DC/AC Accessory Inverter 1 Lifetime Data,J1939 DBC
FB9E,DC/AC Accessory Inverter 2 Temperatures,J1939 DBC
FB9F,DC/AC Accessory Inverter 2 DC Side Limits,J1939 DBC
FBA0,DC/AC Accessory Inverter 2 AC Side Limits,J1939 DBC
FBA1,DC/AC Accessory Inverter 2 Configuration 1,J1939 DBC
